,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,105,500,Private room,Manhattan,Hell's Kitchen,39.0,5.0,,1.0,1.0,549.0,1.0,40.762099,-73.996022,2015-09-10 02:58:38.962058
1,2515,2758,Private room,Manhattan,Harlem,121.0,4.5,2.0,1.0,2.0,59.0,2.0,40.799205,-73.953676,2015-09-10 02:58:38.962058
2,2595,2845,Entire home/apt,Manhattan,Midtown,17.0,5.0,2.0,0.0,1.0,295.0,1.0,40.753621,-73.983774,2015-09-10 02:58:38.962058
3,3330,4177,Private room,Brooklyn,Williamsburg,16.0,4.5,2.0,1.0,1.0,125.0,3.0,40.708558,-73.942362,2015-09-10 02:58:38.962058
4,3831,4869,Private room,Brooklyn,Clinton Hill,15.0,4.5,,,,89.0,1.0,40.685138,-73.959757,2015-09-10 02:58:38.962058
5,4573,5871,Entire home/apt,Brooklyn,Crown Heights,5.0,5.0,,2.0,,180.0,3.0,40.674376,-73.93399,2015-09-10 02:58:38.962058
6,4611,5926,Private room,Manhattan,Harlem,69.0,4.5,,,,55.0,3.0,40.824861,-73.949982,2015-09-10 02:58:38.962058
7,4989,7118,Entire home/apt,Manhattan,Hell's Kitchen,14.0,4.5,3.0,1.0,1.0,200.0,2.0,40.7626,-73.993045,2015-09-10 02:58:38.962058
8,5044,7222,Entire home/apt,Manhattan,East Village,42.0,5.0,,,,175.0,3.0,40.726334,-73.989478,2015-09-10 02:58:38.962058
9,5099,7322,Entire home/apt,Manhattan,Murray Hill,48.0,4.5,2.0,1.0,1.0,200.0,4.0,40.747714,-73.975149,2015-09-10 02:58:38.962058
10,5121,7356,Private room,Brooklyn,Bedford-Stuyvesant,42.0,4.5,2.0,1.0,,50.0,2.0,40.686882,-73.955957,2015-09-10 02:58:38.962058
11,5136,7378,Entire home/apt,Brooklyn,Sunset Park,1.0,5.0,4.0,3.0,1.5,249.0,4.0,40.661197,-73.994227,2015-09-10 02:58:38.962058
12,5178,8967,Private room,Manhattan,Midtown,245.0,4.5,2.0,1.0,1.0,73.0,1.0,40.764681,-73.983154,2015-09-10 02:58:38.962058
13,5222,7516,Entire home/apt,Manhattan,East Village,93.0,5.0,,,,145.0,15.0,40.727637,-73.979488,2015-09-10 02:58:38.962058
14,5238,7549,Entire home/apt,Manhattan,Chinatown,113.0,4.5,,,,140.0,1.0,40.713444,-73.990375,2015-09-10 02:58:38.962058
15,5258,7611,Entire home/apt,Brooklyn,Williamsburg,51.0,5.0,2.0,1.0,1.0,135.0,2.0,40.710302,-73.964961,2015-09-10 02:58:38.962058
16,5270,7626,Entire home/apt,Manhattan,Lower East Side,158.0,4.5,,,,100.0,2.0,40.717605,-73.986643,2015-09-10 02:58:38.962058
17,5435,7987,Entire home/apt,Manhattan,Upper West Side,24.0,4.5,2.0,1.0,1.0,145.0,7.0,40.80155,-73.970001,2015-09-10 02:58:38.962058
18,5441,7989,Private room,Manhattan,Hell's Kitchen,77.0,5.0,,,,135.0,3.0,40.76076,-73.988667,2015-09-10 02:58:38.962058
19,5489,8178,Entire home/apt,Brooklyn,South Slope,223.0,4.5,,,,149.0,1.0,40.669349,-73.987054,2015-09-10 02:58:38.962058
20,5552,8380,Entire home/apt,Manhattan,West Village,57.0,5.0,2.0,1.0,1.0,200.0,1.0,40.736491,-74.010575,2015-09-10 02:58:38.962058
21,5586,8526,Entire home/apt,Manhattan,Upper East Side,34.0,5.0,,,,200.0,4.0,40.761198,-73.960633,2015-09-10 02:58:38.962058
22,5803,9744,Private room,Brooklyn,South Slope,119.0,4.5,2.0,1.0,,89.0,4.0,40.66829,-73.987791,2015-09-10 02:58:38.962058
23,5857,10176,Entire home/apt,Brooklyn,Williamsburg,61.0,5.0,,2.0,2.0,280.0,1.0,40.717358,-73.942063,2015-09-10 02:58:38.962058
