,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
19005,4967272,17773625,Private room,Manhattan,Tribeca,2,4.5,3.0,1.0,1.0,175.0,2.0,40.719664,-74.002976,2015-08-10 21:44:27.340600
19006,4967289,18065544,Entire home/apt,Brooklyn,Williamsburg,35,5.0,,2.0,1.0,199.0,1.0,40.706841,-73.948978,2015-08-10 21:44:27.340600
19007,4967420,13652819,Entire home/apt,Brooklyn,Bedford-Stuyvesant,3,5.0,2.0,1.0,1.0,103.0,2.0,40.691305,-73.949187,2015-08-10 21:44:27.340600
19008,4967506,21836442,Private room,Manhattan,Harlem,18,4.5,2.0,1.0,1.0,95.0,4.0,40.804326,-73.957365,2015-08-10 21:44:27.340600
19009,4967738,3558557,Entire home/apt,Brooklyn,Williamsburg,2,4.5,3.0,1.0,1.0,100.0,,40.712037,-73.958266,2015-08-10 21:44:27.340600
19010,4968205,25612896,Entire home/apt,Brooklyn,South Slope,1,5.0,2.0,1.0,1.0,75.0,1.0,40.660666,-73.987093,2015-08-10 21:44:27.340600
19011,4968633,248490,Entire home/apt,Brooklyn,Bedford-Stuyvesant,0,,2.0,0.0,1.0,95.0,3.0,40.680451,-73.93796,2015-08-10 21:44:27.340600
19012,4968740,7126843,Entire home/apt,Queens,Long Island City,0,,2.0,1.0,1.0,100.0,1.0,40.74599,-73.942673,2015-08-11 14:39:49.039602
19013,4968790,1114557,Entire home/apt,Brooklyn,Park Slope,0,,4.0,2.0,1.0,119.0,7.0,40.681935,-73.976096,2015-08-10 21:44:27.340600
19014,4968798,23345098,Private room,Queens,East Elmhurst,7,5.0,2.0,1.0,1.0,40.0,4.0,40.757028,-73.876668,2015-08-10 21:44:27.340600
19015,4968817,2793778,Private room,Queens,Forest Hills,6,4.5,2.0,1.0,1.0,60.0,2.0,40.715428,-73.835635,2015-08-10 21:44:27.340600
19016,4968858,5325906,Private room,Manhattan,West Village,0,,2.0,1.0,1.0,85.0,1.0,40.730859,-74.002718,2015-08-10 21:44:27.340600
19017,4969059,4107689,Private room,Manhattan,Lower East Side,0,,2.0,1.0,1.0,70.0,2.0,40.71987,-73.984874,2015-08-10 21:44:27.340600
19018,4971536,25514505,Entire home/apt,Manhattan,Upper East Side,7,4.5,2.0,0.0,1.0,120.0,1.0,40.763039,-73.959328,2015-08-10 21:44:27.340600
19019,4971556,23293717,Private room,Staten Island,Bull's Head,7,4.5,1.0,1.0,1.0,35.0,1.0,40.60851,-74.160473,2015-08-10 21:44:27.340600
19020,4971951,6322938,Private room,Manhattan,Upper West Side,4,5.0,3.0,1.0,1.0,175.0,1.0,40.774299,-73.984175,2015-08-10 21:44:27.340600
19021,4972631,16351410,Entire home/apt,Manhattan,Upper West Side,0,,2.0,0.0,1.0,150.0,1.0,40.792505,-73.970502,2015-08-10 21:44:27.340600
19022,4972979,5166070,Private room,Manhattan,Hell's Kitchen,28,4.5,2.0,1.0,1.0,119.0,1.0,40.76032,-73.99029,2015-08-10 21:44:27.340600
19023,4973452,693815,Private room,Manhattan,Chinatown,0,,2.0,1.0,2.0,75.0,1.0,40.716524,-73.998007,2015-08-10 21:44:27.340600
19024,4974298,3484016,Entire home/apt,Brooklyn,Green-Wood Cemetery,9,5.0,4.0,1.0,1.0,140.0,1.0,40.651765,-73.981581,2015-08-10 21:44:27.340600
19025,4974546,25642715,Private room,Manhattan,Chinatown,0,,2.0,1.0,1.0,200.0,1.0,40.717661,-73.992342,2015-08-10 21:44:27.340600
19026,4974583,25557932,Private room,Brooklyn,Bedford-Stuyvesant,0,,2.0,1.0,1.0,65.0,3.0,40.689244,-73.955352,2015-08-10 21:44:27.340600
19027,4974709,16954768,Private room,Manhattan,Harlem,21,4.5,1.0,1.0,1.0,45.0,2.0,40.819386,-73.954384,2015-08-10 21:44:27.340600
19028,4974807,18250656,Entire home/apt,Manhattan,Upper East Side,3,4.0,3.0,1.0,1.0,185.0,,40.769975,-73.966825,2015-08-11 20:26:30.562907
19029,4974843,25641892,Entire home/apt,Staten Island,Randall Manor,37,5.0,2.0,0.0,1.0,79.0,1.0,40.632003,-74.12534,2015-08-10 21:44:27.340600
19030,4975302,25645531,Shared room,Brooklyn,Flatbush,10,5.0,4.0,1.0,1.0,70.0,1.0,40.644834,-73.964263,2015-08-10 21:44:27.340600
19031,4975504,19184268,Private room,Manhattan,Hell's Kitchen,6,5.0,2.0,1.0,1.0,130.0,1.0,40.764851,-73.988613,2015-08-10 21:44:27.340600
19032,4975608,25642796,Entire home/apt,Manhattan,Upper East Side,0,,2.0,0.0,1.0,255.0,1.0,40.782735,-73.947676,2015-08-11 20:30:09.522187
19033,4975611,25647718,Entire home/apt,Brooklyn,Williamsburg,4,4.5,5.0,2.0,1.0,250.0,1.0,40.716564,-73.946514,2015-08-10 21:44:27.340600
19034,4975650,11757212,Entire home/apt,Brooklyn,Bushwick,3,3.0,,3.0,1.0,225.0,1.0,40.697824,-73.928661,2015-08-10 21:44:27.340600
19035,4976106,6795994,Entire home/apt,Brooklyn,Fort Greene,1,5.0,2.0,0.0,1.0,165.0,3.0,40.688316,-73.971854,2015-08-11 11:03:36.960803
19036,4976184,25650932,Private room,Manhattan,Stuyvesant Town,0,,2.0,1.0,1.0,109.0,1.0,40.730422,-73.978207,2015-08-10 21:44:27.340600
19037,4976218,25651173,Private room,Queens,Long Island City,9,4.5,2.0,1.0,1.0,90.0,2.0,40.742018,-73.954986,2015-08-10 21:44:27.340600
19038,4976457,25639040,Entire home/apt,Manhattan,Upper West Side,0,,3.0,1.0,1.0,149.0,1.0,40.789625,-73.975524,2015-08-10 21:44:27.340600
19039,4976636,1381533,Entire home/apt,Brooklyn,Bedford-Stuyvesant,3,4.5,2.0,1.0,1.0,99.0,1.0,40.680374,-73.953993,2015-08-11 04:09:34.930220
19040,4976848,519554,Private room,Manhattan,Lower East Side,8,4.0,1.0,1.0,1.0,75.0,1.0,40.719036,-73.989619,2015-08-10 21:44:27.340600
19041,4977140,5577008,Entire home/apt,Brooklyn,Bedford-Stuyvesant,0,,2.0,1.0,1.0,110.0,3.0,40.69014,-73.935785,2015-08-10 21:44:27.340600
19042,4977384,7026827,Entire home/apt,Brooklyn,Bedford-Stuyvesant,2,2.0,,3.0,1.0,150.0,1.0,40.684573,-73.933494,2015-08-10 21:44:27.340600
19043,4977449,2124237,Private room,Brooklyn,Crown Heights,0,,2.0,1.0,1.0,60.0,1.0,40.676848,-73.951315,2015-08-10 21:44:27.340600
19044,4977547,25657835,Private room,Brooklyn,Bedford-Stuyvesant,1,5.0,2.0,1.0,1.0,50.0,1.0,40.687189,-73.952452,2015-08-10 21:54:35.459205
19045,4977744,10350245,Entire home/apt,Manhattan,Lower East Side,1,5.0,4.0,1.0,1.0,200.0,1.0,40.720757,-73.989248,2015-08-10 21:44:27.340600
19046,4977906,1409823,Entire home/apt,Brooklyn,Bedford-Stuyvesant,3,5.0,4.0,1.0,1.0,80.0,14.0,40.683581,-73.954378,2015-08-11 04:16:44.580283
19047,4978021,25561457,Private room,Manhattan,East Harlem,1,3.0,2.0,1.0,1.0,65.0,1.0,40.798017,-73.941476,2015-08-10 22:46:01.253159
19048,4978156,24642885,Private room,Manhattan,East Village,0,,1.0,1.0,0.5,70.0,2.0,40.728159,-73.976616,2015-08-10 21:44:27.340600
19049,4978197,25561457,Private room,Manhattan,East Harlem,3,3.5,2.0,1.0,1.0,65.0,1.0,40.798406,-73.940911,2015-08-10 22:45:40.182672
19050,4978214,3737351,Private room,Brooklyn,Canarsie,1,4.0,3.0,1.0,1.0,49.0,4.0,40.640274,-73.917511,2015-08-10 21:44:27.340600
19051,4978241,271527,Entire home/apt,Manhattan,Harlem,3,5.0,4.0,1.0,1.0,170.0,3.0,40.810047,-73.940033,2015-08-10 21:44:27.340600
19052,4978388,11528411,Entire home/apt,Manhattan,Kips Bay,5,4.0,2.0,0.0,1.0,140.0,3.0,40.743116,-73.973808,2015-08-11 13:46:09.903398
19053,4978607,2316247,Entire home/apt,Manhattan,Upper West Side,4,4.5,3.0,0.0,1.0,130.0,4.0,40.781237,-73.984753,2015-08-10 21:44:27.340600
19054,4978610,7026827,Entire home/apt,Brooklyn,Bedford-Stuyvesant,18,4.5,3.0,1.0,1.0,150.0,3.0,40.683212,-73.932237,2015-08-10 21:44:27.340600
19055,4978798,12487231,Shared room,Manhattan,Midtown,0,,1.0,1.0,1.0,199.0,1.0,40.750866,-73.974511,2015-08-10 21:44:27.340600
19056,4978822,24312897,Private room,Manhattan,East Harlem,0,,2.0,1.0,1.0,95.0,6.0,40.790302,-73.947344,2015-08-10 21:44:27.340600
19057,4978905,25666522,Shared room,Manhattan,Hell's Kitchen,22,5.0,3.0,1.0,1.0,125.0,1.0,40.763179,-73.987433,2015-08-10 21:44:27.340600
19058,4979111,25667843,Entire home/apt,Manhattan,Upper East Side,1,5.0,4.0,1.0,1.0,225.0,,40.783032,-73.951641,2015-08-10 21:44:27.340600
19059,4979161,25440234,Entire home/apt,Manhattan,West Village,18,4.5,5.0,2.0,1.0,429.0,1.0,40.734618,-74.00456,2015-08-10 21:44:27.340600
19060,4979790,1005489,Private room,Brooklyn,Williamsburg,0,,2.0,1.0,2.0,90.0,1.0,40.707385,-73.952264,2015-08-10 21:44:27.340600
19061,4981192,1414725,Entire home/apt,Brooklyn,Vinegar Hill,13,4.5,3.0,1.0,1.0,150.0,2.0,40.701019,-73.983016,2015-08-10 21:44:27.340600
19062,4981857,25681770,Private room,Staten Island,Arrochar,0,,2.0,1.0,1.0,66.0,1.0,40.587686,-74.06986,2015-08-11 02:30:34.418799
19063,4982699,25686141,Entire home/apt,Queens,Ozone Park,7,3.5,,2.0,1.0,99.0,2.0,40.679586,-73.846959,2015-08-10 21:44:27.340600
19064,4982896,25687084,Entire home/apt,Manhattan,Midtown,8,3.5,2.0,0.0,1.0,98.0,7.0,40.75426,-73.974232,2015-08-10 21:44:27.340600
19065,4982969,2803589,Private room,Brooklyn,Prospect-Lefferts Gardens,0,,1.0,1.0,1.0,50.0,1.0,40.658327,-73.951959,2015-08-10 21:44:27.340600
19066,4983264,25688822,Private room,Manhattan,Harlem,2,5.0,2.0,1.0,1.0,95.0,2.0,40.799673,-73.954438,2015-08-10 21:44:27.340600
19067,4983830,2445585,Private room,Brooklyn,Bedford-Stuyvesant,4,4.5,2.0,1.0,1.0,65.0,1.0,40.687012,-73.939169,2015-08-10 21:44:27.340600
19068,4984751,3000780,Private room,Brooklyn,Prospect-Lefferts Gardens,0,,2.0,1.0,1.0,69.0,1.0,40.658736,-73.961747,2015-08-10 21:44:27.340600
19069,4984907,4821219,Private room,Brooklyn,Williamsburg,1,5.0,2.0,1.0,1.5,98.0,1.0,40.709462,-73.94179,2015-08-10 21:44:27.340600
19070,4984951,23570473,Private room,Brooklyn,Crown Heights,3,5.0,2.0,1.0,1.0,89.0,1.0,40.6726,-73.953643,2015-08-10 21:44:27.340600
19071,4984976,25697284,Private room,Brooklyn,Crown Heights,0,,1.0,1.0,2.0,75.0,1.0,40.675492,-73.949965,2015-08-10 21:44:27.340600
19072,4985504,25698724,Entire home/apt,Manhattan,Chelsea,4,5.0,2.0,1.0,1.0,365.0,1.0,40.745082,-74.001134,2015-08-10 21:44:27.340600
19073,4985563,25700567,Entire home/apt,Queens,Sunnyside,18,5.0,3.0,1.0,1.0,89.0,1.0,40.742961,-73.926406,2015-08-10 21:44:27.340600
19074,4985618,109397,Entire home/apt,Brooklyn,Williamsburg,4,5.0,,2.0,2.0,350.0,1.0,40.708819,-73.946663,2015-08-11 23:31:38.834901
19075,4985662,24833181,Entire home/apt,Brooklyn,Bedford-Stuyvesant,9,4.5,2.0,0.0,1.0,79.0,1.0,40.695449,-73.949517,2015-08-11 04:05:01.540867
19076,4985759,20695964,Entire home/apt,Manhattan,Midtown,3,4.5,4.0,2.0,1.5,397.0,1.0,40.762422,-73.975825,2015-08-10 21:44:27.340600
19077,4985976,3741309,Entire home/apt,Manhattan,Upper East Side,2,5.0,3.0,1.0,1.0,150.0,7.0,40.779021,-73.949164,2015-08-11 20:27:07.109125
19078,4986692,3951741,Private room,Queens,Jackson Heights,1,5.0,3.0,1.0,1.0,55.0,3.0,40.753954,-73.882414,2015-08-10 21:44:27.340600
19079,4986926,5079803,Private room,Manhattan,SoHo,5,4.5,1.0,1.0,1.0,95.0,3.0,40.725711,-74.006995,2015-08-10 21:44:27.340600
19080,4987009,25709393,Entire home/apt,Manhattan,Greenwich Village,2,4.5,4.0,0.0,1.0,180.0,1.0,40.733854,-73.994102,2015-08-11 12:06:11.264680
19081,4987197,21641252,Shared room,Bronx,Norwood,0,,2.0,1.0,1.0,25.0,1.0,40.879976,-73.881944,2015-08-10 21:44:27.340600
19082,4987370,25711730,Private room,Brooklyn,Williamsburg,0,,1.0,1.0,1.0,85.0,1.0,40.711599,-73.967744,2015-08-10 21:44:27.340600
19083,4987821,25709508,Private room,Queens,Woodhaven,0,,2.0,1.0,1.0,100.0,1.0,40.690249,-73.85168,2015-08-10 21:44:27.340600
19084,4987929,25715117,Private room,Queens,Astoria,2,4.0,2.0,1.0,1.0,100.0,1.0,40.763573,-73.928293,2015-08-10 21:44:27.340600
19085,4987950,25715088,Entire home/apt,Manhattan,East Village,4,4.5,4.0,2.0,1.0,300.0,2.0,40.729644,-73.98626,2015-08-10 21:44:27.340600
19086,4988044,25715668,Private room,Queens,Woodhaven,0,,2.0,1.0,1.0,90.0,1.0,40.689702,-73.853968,2015-08-10 21:44:27.340600
19087,4988271,25702643,Entire home/apt,Manhattan,West Village,0,,4.0,1.0,1.0,255.0,3.0,40.73623,-74.000961,2015-08-10 21:44:27.340600
19088,4988404,24088940,Entire home/apt,Manhattan,Gramercy,1,5.0,4.0,1.0,1.5,250.0,1.0,40.734472,-73.98397,2015-08-10 21:44:27.340600
19089,4988564,25719518,Entire home/apt,Manhattan,Upper East Side,28,4.0,2.0,1.0,1.0,145.0,1.0,40.778143,-73.948573,2015-08-10 21:44:27.340600
19090,4988587,10764579,Private room,Manhattan,Harlem,0,,1.0,1.0,1.0,55.0,1.0,40.82539,-73.951425,2015-08-10 21:44:27.340600
