,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,7,1.0,1.0,173.0,1,40.762099,-73.996022,2014-10-18 19:13:01.822
1,2515,2758,Private room,Manhattan,Harlem,104,4.5,2,1.0,2.0,69.0,2,40.799205,-73.953676,2014-10-19 13:36:53.885
2,2684,2965,Private room,Manhattan,Upper West Side,1,5.0,2,1.0,1.5,151.0,1,40.792353,-73.967807,2014-10-18 20:59:38.016
3,2993,3352,Entire home/apt,Manhattan,Lower East Side,2,4.5,2,1.0,1.0,174.0,5,40.723593,-73.991188,2014-10-19 10:34:17.629
4,3330,4177,Private room,Brooklyn,Williamsburg,10,5.0,2,1.0,1.0,145.0,3,40.708558,-73.942362,2014-10-18 09:29:38.433
5,3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,46,4.5,3,1.0,1.0,103.0,1,40.6783,-73.944627,2014-10-18 19:02:39.349
6,3831,4869,Private room,Brooklyn,Clinton Hill,1,5.0,3,1.0,1.0,116.0,1,40.685138,-73.959757,2014-10-19 16:41:58.993
7,4573,5871,Entire home/apt,Brooklyn,Crown Heights,4,4.5,6,2.0,,209.0,3,40.674376,-73.93399,2014-10-19 14:22:58.949
8,4787,6459,Entire home/apt,Manhattan,West Village,11,4.0,5,2.0,1.0,250.0,3,40.734019,-74.000305,2014-10-19 10:45:06.618
9,4989,7118,Entire home/apt,Manhattan,Hell's Kitchen,13,4.5,3,1.0,1.0,232.0,2,40.7626,-73.993045,2014-10-18 21:06:48.259
10,5030,7201,Entire home/apt,Manhattan,Upper East Side,99,4.5,4,1.0,1.0,134.0,2,40.781098,-73.952188,2014-10-19 09:37:10.339
11,5044,7222,Entire home/apt,Manhattan,East Village,28,5.0,4,1.0,1.0,203.0,3,40.726353,-73.989371,2014-10-19 10:51:27.823
12,5079,7286,Entire home/apt,Manhattan,Harlem,162,5.0,4,2.0,1.0,267.0,3,40.813613,-73.945896,2014-10-19 13:57:02.249
13,5099,7322,Entire home/apt,Manhattan,Murray Hill,38,4.5,2,1.0,1.0,232.0,1,40.747714,-73.975149,2014-10-19 15:38:35.181
14,5107,7332,Entire home/apt,Brooklyn,Bedford-Stuyvesant,43,5.0,8,2.0,1.0,290.0,3,40.69299,-73.957232,2014-10-19 16:20:09.476
15,5110,7337,Entire home/apt,Manhattan,Lower East Side,30,4.5,2,1.0,1.0,200.0,3,40.713942,-73.981839,2014-10-19 16:37:31.303
16,5121,7356,Private room,Brooklyn,Bedford-Stuyvesant,37,4.5,2,1.0,,58.0,2,40.686882,-73.955957,2014-10-18 09:24:53.253
