,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
9730,1564911,7900628,Private room,Manhattan,Washington Heights,8,5.0,2,1.0,1.0,101.0,1,40.852712,-73.939799,2014-05-12 20:38:48.178
9731,1565409,8326744,Entire home/apt,Brooklyn,Williamsburg,7,5.0,2,1.0,1.0,219.0,2,40.712696,-73.957215,2014-05-12 19:26:02.750
9732,1565689,2051506,Entire home/apt,Manhattan,Upper East Side,4,5.0,6,2.0,2.0,505.0,2,40.775298,-73.946651,2014-05-12 21:29:51.637
9733,1565808,8328624,Entire home/apt,Manhattan,Upper East Side,13,4.5,2,1.0,1.0,152.0,3,40.764023,-73.959205,2014-05-12 09:40:03.853
9734,1566046,319077,Entire home/apt,Brooklyn,Clinton Hill,2,3.5,3,1.0,1.0,157.0,3,40.686158,-73.959566,2014-05-12 08:07:16.921
9735,1566632,8333094,Entire home/apt,Manhattan,Midtown,1,5.0,4,1.0,1.0,337.0,4,40.765452,-73.982624,2014-05-12 14:34:52.309
9736,1566714,3150378,Entire home/apt,Manhattan,Chelsea,22,5.0,4,1.0,1.0,235.0,3,40.741948,-74.000154,2014-05-12 21:35:17.310
9737,1566772,8333838,Entire home/apt,Manhattan,Gramercy,0,,2,0.0,1.0,263.0,1,40.736277,-73.979578,2014-05-12 02:56:17.471
9738,1566787,1308748,Entire home/apt,Manhattan,Lower East Side,7,4.5,4,1.0,1.0,225.0,1,40.722401,-73.98738,2014-05-12 04:09:44.892
9739,1566952,8334804,Entire home/apt,Manhattan,Chelsea,3,5.0,2,1.0,1.0,281.0,3,40.745216,-73.994298,2014-05-12 20:02:13.627
9740,1566988,1776968,Entire home/apt,Manhattan,Gramercy,1,4.0,3,0.0,1.0,196.0,1,40.73757,-73.986145,2014-05-11 23:35:27.719
9741,1567134,8335875,Entire home/apt,Brooklyn,Bedford-Stuyvesant,2,5.0,8,3.0,1.0,225.0,3,40.685216,-73.922789,2014-05-12 13:40:54.731
9742,1567176,5912445,Entire home/apt,Queens,Forest Hills,9,5.0,2,1.0,1.0,156.0,1,40.720885,-73.842016,2014-05-12 17:16:58.852
9743,1567225,8336526,Entire home/apt,Manhattan,Upper West Side,1,5.0,6,3.0,1.5,730.0,1,40.780239,-73.979423,2014-05-12 21:29:56.146
9744,1567483,1887999,Entire home/apt,Staten Island,Graniteville,1,4.5,3,1.0,1.0,110.0,2,40.622397,-74.166737,2014-05-12 21:40:11.283
9745,1568712,2818040,Private room,Brooklyn,Williamsburg,3,5.0,2,1.0,1.0,111.0,1,40.707885,-73.967369,2014-05-12 17:17:07.489
9746,1568732,8342774,Private room,Manhattan,SoHo,1,,1,1.0,1.0,213.0,5,40.725771,-73.998576,2014-05-12 19:00:26.351
9747,1569906,8348154,Entire home/apt,Manhattan,Inwood,5,5.0,3,1.0,1.0,101.0,3,40.865578,-73.928749,2014-05-12 09:50:16.678
9748,1570096,5251467,Entire home/apt,Brooklyn,Columbia St,19,4.5,6,2.0,1.0,185.0,2,40.687074,-74.004672,2014-05-12 02:36:33.553
9749,1570287,8350121,Shared room,Brooklyn,Park Slope,0,,2,1.0,1.0,225.0,1,40.681186,-73.980017,2014-05-12 20:39:11.161
9750,1570307,980606,Private room,Brooklyn,Bushwick,2,4.5,2,1.0,1.0,86.0,2,40.700731,-73.917747,2014-05-11 09:21:51.722
9751,1570348,8265510,Private room,Manhattan,Harlem,3,5.0,2,1.0,1.0,67.0,1,40.827579,-73.947004,2014-05-12 02:15:35.822
9752,1570536,8351235,Private room,Brooklyn,Bushwick,0,,1,1.0,1.0,89.0,6,40.69708,-73.930353,2014-05-12 20:02:30.052
9753,1570663,8351987,Private room,Manhattan,Midtown,0,,2,1.0,2.0,112.0,1,40.757617,-73.964448,2014-05-12 08:50:36.809
9754,1570941,497672,Entire home/apt,Manhattan,Harlem,8,4.5,4,1.0,,152.0,1,40.803981,-73.950535,2014-05-12 10:45:56.221
9755,1571111,8354167,Entire home/apt,Manhattan,Kips Bay,7,5.0,3,0.0,1.0,208.0,14,40.741157,-73.979971,2014-05-12 01:51:00.817
9756,1571222,8354811,Entire home/apt,Queens,Ditmars Steinway,18,4.5,5,1.0,1.0,120.0,1,40.77591,-73.908588,2014-05-12 12:57:45.995
9757,1571455,8316059,Private room,Queens,Woodside,0,,2,1.0,1.0,73.0,2,40.744091,-73.898641,2014-05-12 10:55:59.361
9758,1573032,560376,Entire home/apt,Manhattan,Greenwich Village,1,5.0,2,1.0,1.0,213.0,5,40.727691,-73.997374,2014-05-12 14:30:01.455
9759,1573073,9972535,Entire home/apt,Manhattan,Hell's Kitchen,10,5.0,4,0.0,1.0,201.0,2,40.758893,-73.990543,2014-05-12 18:00:29.896
9760,1573110,1276819,Private room,Manhattan,Tribeca,4,5.0,2,1.0,1.0,90.0,1,40.720291,-74.005307,2014-05-12 21:09:47.422
9761,1573394,2761452,Entire home/apt,Manhattan,Chelsea,17,4.5,4,1.0,1.0,225.0,5,40.741436,-73.998652,2014-05-11 23:59:52.368
9762,1573724,1412484,Entire home/apt,Manhattan,Washington Heights,6,4.5,4,,1.0,134.0,4,40.849214,-73.934281,2014-05-12 07:52:23.092
9763,1573753,2097004,Entire home/apt,Queens,Arverne,6,4.5,5,1.0,1.0,84.0,1,40.593875,-73.794342,2014-05-12 10:22:44.413
9764,1573896,111587,Private room,Brooklyn,Cobble Hill,0,,2,1.0,1.0,95.0,1,40.687058,-73.997625,2014-05-11 23:10:32.215
9765,1574097,8261331,Shared room,Manhattan,Theater District,25,4.5,2,1.0,1.0,89.0,1,40.762706,-73.981772,2014-05-12 18:00:32.480
9766,1574224,200501,Entire home/apt,Brooklyn,Crown Heights,1,5.0,2,1.0,1.0,90.0,2,40.670011,-73.959766,2014-05-12 05:08:12.606
9767,1574411,8261331,Shared room,Manhattan,Midtown,17,4.5,1,1.0,1.0,89.0,1,40.763709,-73.980697,2014-05-11 23:26:14.594
9768,1574588,8369474,Entire home/apt,Manhattan,Midtown,9,4.5,4,1.0,1.0,225.0,1,40.752593,-73.983444,2014-05-12 16:12:11.389
9769,1574709,7050647,Entire home/apt,Manhattan,Upper West Side,7,5.0,2,1.0,1.0,196.0,2,40.780163,-73.977088,2014-05-12 02:57:02.484
9770,1575088,3009640,Private room,Manhattan,Upper West Side,18,5.0,2,1.0,1.0,107.0,2,40.778423,-73.974812,2014-05-12 15:10:45.737
9771,1576477,8380347,Entire home/apt,Brooklyn,Crown Heights,0,,4,2.0,1.0,168.0,3,40.672423,-73.958574,2014-05-12 00:57:21.634
9772,1576789,8381733,Entire home/apt,Manhattan,East Harlem,4,5.0,6,2.0,2.0,393.0,2,40.809263,-73.93933,2014-05-12 07:17:56.112
9773,1577019,5072735,Entire home/apt,Manhattan,East Village,1,5.0,3,1.0,1.0,281.0,5,40.721744,-73.980987,2014-05-12 03:25:14.392
9774,1577125,8382363,Private room,Brooklyn,Navy Yard,3,4.5,1,1.0,1.0,79.0,1,40.698641,-73.964665,2014-05-12 14:13:28.972
9775,1577229,8383750,Private room,Queens,Long Island City,0,,1,1.0,1.0,73.0,3,40.754927,-73.933646,2014-05-11 23:36:02.916
9776,1577575,4611628,Entire home/apt,Manhattan,Hell's Kitchen,10,4.5,6,2.0,1.0,477.0,2,40.762897,-73.990097,2014-05-12 08:45:41.786
9777,1577913,2644076,Entire home/apt,Manhattan,Morningside Heights,2,4.5,4,2.0,2.0,393.0,3,40.812698,-73.958186,2014-05-12 15:57:24.358
9778,1578146,8087794,Private room,Brooklyn,Flatbush,0,,2,1.0,1.0,73.0,2,40.638763,-73.968523,2014-05-12 13:57:29.726
