listing_id,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
6566,1134384,6223032,Private room,Manhattan,Kips Bay,0,,2,1,1,246,3,40.742334,-73.979127,02:24.2
6567,1134593,6224038,Entire home/apt,Manhattan,Harlem,17,5,3,1,1,211,1,40.802118,-73.95851,13:58.1
6568,1134709,4966213,Entire home/apt,Brooklyn,Prospect Heights,2,5,4,1,1,140,3,40.677836,-73.968296,01:22.1
6569,1134988,1738007,Private room,Manhattan,Harlem,4,4.5,2,1,1,105,1,40.812742,-73.940178,58:50.4
6570,1135134,2833269,Entire home/apt,Brooklyn,Cobble Hill,2,3,3,1,1,167,2,40.68786,-73.99271,34:00.7
6571,1135315,2657216,Private room,Manhattan,Morningside Heights,0,,2,1,1,94,9,40.815012,-73.961995,55:35.8
6572,1135404,6228548,Entire home/apt,Manhattan,Upper East Side,0,,2,0,1,129,1,40.776327,-73.95268,42:33.2
6573,1135418,5802816,Private room,Manhattan,West Village,17,4.5,2,1,1,233,4,40.73446,-74.006697,52:08.3
6574,1135494,6158233,Entire home/apt,Manhattan,Harlem,5,4.5,5,4,1,316,1,40.831105,-73.949474,26:54.2
6575,1136515,6234204,Private room,Brooklyn,Bedford-Stuyvesant,0,,1,1,1,63,1,40.679427,-73.940466,12:03.1
6576,1136837,5904297,Entire home/apt,Manhattan,Hell's Kitchen,37,5,6,2,2,432,1,40.767335,-73.991963,45:53.9
6577,1136959,6236837,Entire home/apt,Manhattan,Midtown,16,5,3,1,1,303,14,40.763435,-73.976692,19:35.6
6578,1137270,6169516,Private room,Manhattan,Upper West Side,12,4.5,2,1,1,158,3,40.788921,-73.97435,07:12.3
6579,1137587,354887,Entire home/apt,Brooklyn,Crown Heights,30,5,4,1,1,193,2,40.679513,-73.963833,20:39.5
6580,1137805,282614,Private room,Brooklyn,Gowanus,47,4.5,2,1,1,94,2,40.680924,-73.981333,04:15.4
6581,1137921,6242080,Entire home/apt,Queens,Sunnyside,9,5,4,1,1,116,2,40.743177,-73.915583,14:23.2
6582,1137999,6242426,Private room,Queens,Jamaica,0,,2,1,1,156,1,40.699652,-73.792857,47:03.9
6583,1138112,6243148,Entire home/apt,Manhattan,Greenwich Village,0,,4,1,1,234,3,40.729723,-74.001853,20:29.7
6584,1138188,3365488,Shared room,Manhattan,Upper West Side,13,4.5,1,1,1,69,1,40.771125,-73.982445,06:23.2
6585,1138285,11258344,Entire home/apt,Brooklyn,Crown Heights,18,4.5,14,4,1.5,672,3,40.678702,-73.956296,19:45.3
6586,1138369,6244618,Private room,Manhattan,Chinatown,0,,2,1,1,163,2,40.716921,-73.990075,26:17.0
6587,1138455,6245239,Entire home/apt,Manhattan,Upper West Side,8,4.5,3,1,1,209,2,40.77097,-73.980825,59:27.7
6588,1138497,2898748,Entire home/apt,Manhattan,Lower East Side,10,4,3,1,1,199,3,40.720412,-73.983249,30:07.3
6589,1138691,6244182,Entire home/apt,Manhattan,Financial District,4,4.5,2,1,1,164,2,40.704805,-74.009452,24:14.4
6590,1138727,6246766,Private room,Manhattan,Theater District,25,4.5,2,1,1,205,2,40.763709,-73.985033,18:03.6
6591,1139677,11258344,Entire home/apt,Brooklyn,Crown Heights,11,4.5,16,2,2.5,994,3,40.679556,-73.957535,44:43.5
6592,1139851,5654454,Entire home/apt,Manhattan,Chelsea,2,5,1,1,1,111,10,40.740651,-73.997812,53:48.0
6593,1140153,6252551,Private room,Manhattan,Upper East Side,30,5,2,1,1,181,1,40.781614,-73.947935,49:07.1
6594,1140164,2845,Private room,Manhattan,Hell's Kitchen,3,4.5,1,1,1,111,1,40.765296,-73.985028,41:31.4
6595,1140221,6253297,Private room,Brooklyn,Downtown Brooklyn,3,4.5,2,1,1,94,3,40.695769,-73.982925,21:18.4
6596,1140225,6253325,Entire home/apt,Manhattan,Upper East Side,28,4.5,2,1,1,164,3,40.774543,-73.948566,14:31.3
6597,1140461,1704042,Private room,Brooklyn,Crown Heights,9,4.5,4,1,1,93,1,40.67357,-73.957772,02:33.9
6598,1140912,1788321,Entire home/apt,Brooklyn,Bushwick,5,4,2,1,1,88,3,40.694807,-73.905234,04:26.5
6599,1141071,6257567,Entire home/apt,Brooklyn,East New York,29,5,4,2,1,84,2,40.663925,-73.894473,47:19.1
6600,1141150,1477833,Private room,Brooklyn,Red Hook,5,4.5,2,1,2,69,2,40.677365,-74.011719,36:08.3
6601,1141632,6260682,Private room,Brooklyn,Williamsburg,64,4,2,1,,70,1,40.704542,-73.943434,57:57.6
6602,1141679,6261018,Private room,Manhattan,SoHo,1,4,2,1,1,205,1,40.72617,-74.001852,59:33.6
6603,1141731,2000143,Entire home/apt,Manhattan,Lower East Side,14,4.5,2,1,1,147,7,40.723619,-73.991113,12:32.2
6604,1141844,6254072,Entire home/apt,Manhattan,East Harlem,39,4,4,1,1,152,3,40.812331,-73.93592,13:02.7
6605,1141904,6262527,Entire home/apt,Manhattan,West Village,2,5,4,1,1,263,1,40.734367,-74.007938,21:31.3
6606,1141908,5855145,Entire home/apt,Queens,Ditmars Steinway,48,4.5,6,2,1,136,1,40.779089,-73.904535,42:53.5
6607,1141958,1590833,Entire home/apt,Brooklyn,Williamsburg,5,5,4,1,2,444,3,40.72113,-73.95971,51:34.9
6608,1142020,6263130,Entire home/apt,Manhattan,East Village,17,4.5,2,0,1,205,3,40.726169,-73.986382,27:58.6
6609,1142034,1474508,Entire home/apt,Manhattan,Hell's Kitchen,16,4.5,5,2,1,439,1,40.75549,-73.996107,33:20.0
6610,1142035,2729791,Private room,Brooklyn,Flatbush,0,,2,1,1,117,2,40.637204,-73.96537,38:06.1
6611,1142338,6264697,Entire home/apt,Manhattan,Upper East Side,28,4,4,2,1,186,1,40.768268,-73.954795,35:20.1
6612,1144110,764836,Private room,Brooklyn,Bedford-Stuyvesant,1,4,3,1,1,94,2,40.698016,-73.954951,53:15.8
6613,1144640,5672282,Entire home/apt,Manhattan,Chelsea,7,5,3,1,1,187,3,40.73791,-73.994833,24:57.0
6614,1144782,1979275,Entire home/apt,Manhattan,Lower East Side,5,4.5,2,1,1,175,4,40.718313,-73.988495,30:46.5
6615,1144809,4590116,Private room,Manhattan,Harlem,4,4.5,3,1,1,76,3,40.827845,-73.943083,44:18.2
6616,1145024,1355774,Private room,Brooklyn,Bedford-Stuyvesant,2,4,2,1,1,63,3,40.688861,-73.955565,20:57.9
6617,1145040,2313197,Entire home/apt,Manhattan,Murray Hill,11,5,2,1,1,292,1,40.748011,-73.974973,40:38.1
6618,1145134,585273,Private room,Brooklyn,Greenpoint,18,5,2,1,1,116,2,40.724482,-73.943283,53:24.1
6619,1145269,6279794,Entire home/apt,Brooklyn,Fort Greene,1,,2,1,1,138,2,40.687669,-73.971611,31:23.2
6620,1145337,6280254,Private room,Manhattan,East Village,58,4.5,2,1,1,116,2,40.731247,-73.983443,01:42.2
6621,1145488,6281034,Private room,Brooklyn,Williamsburg,1,5,4,1,1,129,7,40.711506,-73.961146,21:50.8
6622,1145499,5802816,Entire home/apt,Manhattan,West Village,5,4,6,2,1,233,3,40.733876,-74.006003,21:04.2
6623,1145560,469490,Entire home/apt,Queens,Long Island City,0,,3,1,1,115,4,40.764643,-73.932874,21:32.2
6624,1145593,6281727,Private room,Brooklyn,Williamsburg,24,5,3,1,1,111,3,40.703989,-73.93476,01:49.4
6625,1146534,6286114,Private room,Manhattan,West Village,28,5,1,1,1,105,1,40.73614,-74.006344,15:25.3
6626,1147015,638721,Entire home/apt,Manhattan,West Village,2,5,2,1,1,232,21,40.729929,-74.00932,32:35.2
6627,1147135,443728,Entire home/apt,Brooklyn,Williamsburg,4,5,4,2,2,446,2,40.720494,-73.955662,31:24.6
6628,1147202,6289507,Private room,Brooklyn,Bedford-Stuyvesant,0,,1,1,2.5,58,1,40.684827,-73.950254,35:52.2
6629,1147303,6290077,Entire home/apt,Manhattan,Upper East Side,1,5,4,1,1,181,7,40.783213,-73.947229,21:26.4
6630,1147507,5523186,Entire home/apt,Manhattan,East Village,0,,4,1,1.5,702,3,40.73032,-73.984694,52:00.3
6631,1147557,6291258,Private room,Queens,Long Island City,1,,1,1,1,76,1,40.763042,-73.930497,10:49.8
6632,1147754,6292242,Private room,Brooklyn,Williamsburg,0,,1,1,1,146,2,40.715585,-73.945044,03:14.8
6633,1147798,2038088,Entire home/apt,Manhattan,Chelsea,25,4.5,2,1,1,152,4,40.752465,-74.003171,55:42.0
6634,1147814,6033763,Entire home/apt,Manhattan,Greenwich Village,10,5,4,1,2,560,1,40.730594,-73.998312,15:30.2
6635,1147836,2285895,Private room,Manhattan,Upper West Side,27,5,2,1,1,198,2,40.779923,-73.986889,03:39.2
6636,1147961,70386,Entire home/apt,Brooklyn,Williamsburg,3,5,2,1,1,205,2,40.717462,-73.9561,47:53.6
6637,1148020,6293746,Entire home/apt,Brooklyn,Bushwick,3,4.5,3,1,1,117,7,40.700272,-73.918324,57:20.3
6638,1148143,2483558,Private room,Brooklyn,Williamsburg,17,4.5,2,1,1,84,8,40.708576,-73.947369,13:39.8
6639,1148279,6294856,Private room,Brooklyn,Bedford-Stuyvesant,39,4.5,3,1,1,70,3,40.680181,-73.948393,13:58.1
6640,1148300,4355442,Private room,Manhattan,Lower East Side,15,4.5,1,1,1,112,2,40.719261,-73.99079,00:06.3
6641,1148323,5761574,Private room,Queens,Richmond Hill,7,5,2,1,1,53,2,40.698281,-73.823943,01:02.9
6642,1148353,2071647,Entire home/apt,Manhattan,Greenwich Village,18,4.5,2,1,1,351,1,40.733529,-73.996799,27:21.7
6643,1148406,6295763,Entire home/apt,Brooklyn,Williamsburg,6,5,2,1,1,176,2,40.712734,-73.948548,47:41.0
6644,1148653,11481,Entire home/apt,Brooklyn,Sunset Park,19,4.5,2,1,,123,3,40.641,-74.013156,03:26.8
6645,1148759,1030835,Entire home/apt,Manhattan,Hell's Kitchen,10,4.5,3,1,1,316,1,40.7538,-73.996123,29:22.1
6646,1148782,1338058,Entire home/apt,Brooklyn,Bushwick,0,,2,1,,140,1,40.700596,-73.921198,26:00.8
6647,1148978,6298986,Private room,Manhattan,Washington Heights,32,4.5,2,1,1,80,5,40.83307,-73.939571,13:05.6
6648,1149011,4342321,Entire home/apt,Brooklyn,Williamsburg,12,5,3,2,1,345,3,40.717341,-73.946655,08:13.4
6649,1149845,5440142,Entire home/apt,Manhattan,Hell's Kitchen,73,4,4,1,1,152,1,40.762665,-73.99108,50:11.9
6650,1150382,6305367,Entire home/apt,Manhattan,East Harlem,5,4,3,1,1,117,1,40.799213,-73.936574,56:27.5
6651,1150398,6305477,Private room,Brooklyn,Park Slope,36,4.5,2,1,1.5,134,1,40.68247,-73.978373,13:11.8
6652,1150514,4376062,Entire home/apt,Brooklyn,Fort Greene,1,4.5,3,1,1,161,7,40.687982,-73.971823,13:23.1
6653,1150628,6306561,Private room,Manhattan,East Harlem,27,4.5,3,1,1,136,1,40.807391,-73.940318,06:04.5
